PARTID,ReligFraim,defect,Condition,gen,age,edu,ethnic,ethnic_TEXT,Nationality,lang,income,SC,FC,relig,CompFail1,CompFail2,CompFail3,CompFail4,CompFail1B,CompFail2B,CompFail3B,CompFail4B,TG_DV,Free_list,1st,LIST1,2nd,LIST2,3rd,LIST3,4th,LIST4,5th,LIST5,6th,LIST6,7th,LIST7,8th,LIST8,9th,LIST9,10th,LIST10,11th,LIST11,12th,LIST12,13th,LIST13,14th,LIST14,15th,LIST15,16th,LIST16,17th,LIST17,relig_chage,relig_chage_TEXT,new_Relig,new_Relig_TEXT,belief_levelChange,unsure_god,relig_service,pray,relig_text,god_belife,relig_tradition,god_experience,what_we_lookingat,were the Qs respect,changes to Qs,these_kinds_study,these_kinds_contin,Real
R_1FnQypLb9SqxQ7N,0,1,2,2,52,6,1,NA,United States of America,English,10,7,7,5,1,1,3,2,NA,NA,NA,NA,50, / being insensitive / lacking compassion / apathy / selfishness / violence / aggression / stealing / cheating / faithlessness / lacking love / ,beinginsensitive,Insensitive,lackingcompassion,No Compassion,apathy,Apathy,selfishness,Selfishness,violence,Violence,aggression,Aggression,stealing,Theft,cheating,Cheating,faithlessness,Atheism,lackinglove,Unloving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,4,8,3,6,6,5,6,1,something about belief in others - willingness to trust,yes,"no - but tbh, I didn't get the how much money I made last year.  I've come into quite a bit of money and though it's a lot, I no longer know how to account for that in a survey (it's a whole lot...........).  Anyway, just saying :)",1000,5,7
R_1Kkhjr48cV4Jl0e,1,1,1,1,62,6,1,NA,American,English,10,6,5,5,1,1,3,2,NA,NA,NA,NA,50,environmental neglect / being judgemental / unnecessary killing / selfishness / being untruthful / being unaware / violence / discrimination / attachment / advertising / ,environmentalneglect,Environment,beingjudgemental,Judgemental,unnecessarykilling,Murder,selfishness,Selfishness,beinguntruthful,Dishonesty,beingunaware,Lack of Awareness,violence,Violence,discrimination,Discrimination,attachment,Attachment,advertising,Advertising,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,5,5,1,10,2,9,9,2,I don't know,yes,no,16000,3,7
R_1mpXHqKjkv6vbyd,1,1,3,2,31,5,1,NA,american,english,8,7,4,5,1,1,2,2,1,1,3,2,50,gluttony / lies / rumors / theft / murder / abandonment / cruelty / killing of animals / killing the earth / ignorance,gluttony,Greed,lies,Dishonesty,rumors,Gossip,theft,Theft,murder,Murder,abandonment,Abondonment,cruelty,Cruelty,killingofanimals,Abusing Animals,killingtheearth,Environment,ignorance,Ignorance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,7,7,2,6,5,8,7,4,to see how much I believed in god,yup,nope,50,2,2
R_28Gkwc4z85kaTbD,1,0,2,2,44,5,1,NA,american,english,3,6,5,5,1,1,2,1,2,2,1,1,50,"disloyalty, cheating, stealing, lying, killing, hurting, gossip, two faced, ignoring poverty, racism",disloyalty,Dishonesty,cheating,Cheating,stealing,Theft,lying,Dishonesty,killing,Murder,hurting,Violence,gossip,Gossip,twofaced,Dishonesty,ignoringpoverty,Ignoring the Poor,racism,Racism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,6,4,3,4,3,2,4,2,not sure,no,no,500,2,6
R_2VEbFqjMg1pGYDs,1,1,2,1,32,5,3,NA,USA,English,9,5,3,5,1,1,3,2,NA,NA,NA,NA,50,"Greed, anger, contempt, envy, sadness, vanity, temptation, laziness, unfaithful, blasphemy ",Greed,Greed,anger,Anger,contempt,Contempt,envy,Envy,sadness,Sadness,vanity,Vanity,temptation,Temptation,laziness,Laziness,unfaithful,Unfaithful,blasphemy,Blasphemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,3,7,2,2,2,3,3,2,not sure,yes,no,50000,3,6
R_2wnlaM7Y2Ie0DVX,1,0,1,2,57,5,1,NA,USA,English,5,2,1,5,1,1,3,2,NA,NA,NA,NA,50,"false idols / murder / adultery / theft / atheism / ""God!"" cursing / coveting / false witness / disobeying Him / original sin /  / ",falseidols,False Idols,murder,Murder,adultery,Adultery,theft,Theft,atheism,Atheism,"""God!""cursing",Blasphemy,coveting,Covetousness,falsewitness,Dishonesty,disobeyingHim,Disobeying Him,originalsin,Original Sin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,10,1,1,1,2,10,1,religious belief,yep,"might be interesting to know why someone changed religions, but it depends on what your research is about",1000,2,1
R_6x7ZOqIxdrVqDaF,1,0,1,1,28,5,1,NA,Italian American,English,4,6,5,5,1,1,3,2,NA,NA,NA,NA,50,"Dishonesty, disloyalty, cowardice, bearing false witness, adultery, cruelty to animals, murder, intentionally causing harm, theft, bigotry",Dishonesty,Dishonesty,disloyalty,Disloyalty,cowardice,Cowardice,bearingfalsewitness,Dishonesty,adultery,Adultery,crueltytoanimals,Abusing Animals,murder,Murder,intentionallycausingharm,Violence,theft,Theft,bigotry,Bigotry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,5,3,2,3,4,2,8,1,How we treat others based on our own beliefs.,"Yes, though my religion does not exactly have a ""god.""",No,3000,2,1
R_Ce5zh0IWXpQTdgl,0,0,3,1,34,2,1,NA,American,English,6,3,5,5,1,1,3,2,NA,NA,NA,NA,50,non-compassion / hate / cheating / stealing / lying / harming / non-giving / non-sharing / unlawful behavior / casual sex,non-compassion,No Compassion,hate,Hatred,cheating,Cheating,stealing,Theft,lying,Dishonesty,harming,Violence,non-giving,Selfishness,non-sharing,Greed,unlawfulbehavior,Crime,casualsex,Sex for Pleasure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,10,1,2,2,2,4,1,how people of religions treat eachother,"sure, except the part about 10 things making god upset. Was difficult since Buddhists don't have a god :) /  / it's okay though, I just used what I remember from a child and common sense.",n/a,1644,2,5
R_cwQbv7pBe5yRPvH,0,1,3,2,55,5,1,NA,American,English,3,5,5,5,1,1,1,2,1,1,1,3,50,anger / impatience / betrayal / intolerance / lack of compassion / aggression / sexism / racism / judgment / vengeance / ,anger,Anger,impatience,Impatience,betrayal,Betrayal,intolerance,Intolerance,lackofcompassion,No Compassion,aggression,Aggression,sexism,Sexism,racism,Racism,judgment,Judgemental,vengeance,Revenge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,6,7,5,9,4,8,8,3,Aspects of trust and charity,yes,no,1082,2,2
R_eeNbTIKsuB1sMDf,1,1,3,1,23,5,3,NA,US,English,6,4,4,5,1,1,3,2,NA,NA,NA,NA,50,Dishonesty / Lies / Stealing / Betrayal / Disrespectful / Cruel / Selfish / Discrimination / Lazy / Killing,Dishonesty,Dishonesty,Lies,Dishonesty,Stealing,Theft,Betrayal,Betrayal,Disrespectful,Disrespectful,Cruel,Cruelty,Selfish,Selfishness,Discrimination,Discrimination,Lazy,Laziness,Killing,Murder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,5,3,5,5,3,8,7,3,Trust,Yes,The questions are alright.,100,2,7
